ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES,NET_SALES_LOG,STATE_FREQ,PROFIT_CLIPPED
2019-01-13,2019-01-15,SECOND CLASS,CS-12250,CORPORATE,USA,BOSSIER CITY,LA,SOUTH,OFF-ST-10000025,OFFICE SUPPLIES,STORAGE,FELLOWES STOR/DRAWER STEEL PLUS STORAGE DRAWERS,34.3548,3435.4800000000005,8.142202970669851,0.004192453583549611,34.3548
2019-01-13,2019-01-18,STANDARD CLASS,BD-11605,CONSUMER,USA,SAN FRANCISCO,CA,WEST,OFF-AR-10003514,OFFICE SUPPLIES,ART,4009 HIGHLIGHTERS BY SANFORD,6.567,99.5,4.61015772749913,0.20383310041924535,6.567
2019-01-13,2019-01-18,STANDARD CLASS,MM-17920,CONSUMER,USA,NEWARK,OH,EAST,OFF-BI-10003476,OFFICE SUPPLIES,BINDERS,AVERY METALLIC POLY BINDERS,-2.5212,2.0628,1.1193295302568314,0.0471151926532242,-2.5212
2019-01-13,2019-01-16,SECOND CLASS,ND-18370,CONSUMER,USA,MOUNT PLEASANT,SC,SOUTH,FUR-CH-10000422,FURNITURE,CHAIRS,GLOBAL HIGHBACK LEATHER TILTER IN BURGUNDY,87.3504,3275.6400000000003,8.094573786088002,0.003992812936713915,87.3504
2019-01-14,2019-01-15,FIRST CLASS,BS-11590,CORPORATE,USA,PHILADELPHIA,PA,EAST,FUR-BO-10003433,FURNITURE,BOOKCASES,SAUDER CORNERSTONE COLLECTION LIBRARY,-53.2856,123.92,4.827673532414877,0.057496506288680374,-53.2856
2019-01-15,2019-01-17,FIRST CLASS,EH-13990,CONSUMER,USA,ROSWELL,GA,SOUTH,TEC-AC-10003628,TECHNOLOGY,ACCESSORIES,LOGITECH 910-002974 M325 WIRELESS MOUSE FOR WEB SCROLLING,65.978,749.75,6.62107270686344,0.018167298862048313,65.978
2019-01-16,2019-01-18,SECOND CLASS,DL-13315,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-LA-10001074,OFFICE SUPPLIES,LABELS,ROUND SPECIALTY LASER PRINTER LABELS,10.1493,72.1728,4.292823767213111,0.057496506288680374,10.1493
2019-01-18,2019-01-21,SECOND CLASS,DW-13195,CORPORATE,USA,SPRINGFIELD,OR,WEST,OFF-AP-10000692,OFFICE SUPPLIES,APPLIANCES,FELLOWES MIGHTY 8 COMPACT SURGE PROTECTOR,6.4864,207.56480000000002,5.34024978432013,0.011179876222798962,6.4864
2019-01-19,2019-01-20,FIRST CLASS,TS-21340,CONSUMER,USA,SCOTTSDALE,AZ,WEST,OFF-BI-10003676,OFFICE SUPPLIES,BINDERS,"GBC STANDARD RECYCLED REPORT COVERS, CLEAR PLASTIC SHEETS",-23.716,97.02000000000002,4.585171539481402,0.021561189858255142,-23.716
2019-01-20,2019-01-26,STANDARD CLASS,XP-21865,CONSUMER,USA,WESTLAND,MI,CENTRAL,FUR-FU-10002268,FURNITURE,FURNISHINGS,ULTRA DOOR PUSH PLATE,4.8609,44.19,3.810875823423188,0.0233579556797764,4.8609
2019-01-20,2019-01-25,STANDARD CLASS,MV-17485,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002893,OFFICE SUPPLIES,PAPER,"WIREBOUND SERVICE CALL BOOKS, 5 1/2"" X 4""",9.2928,38.72,3.681854839176972,0.20383310041924535,9.2928
2019-01-20,2019-01-26,STANDARD CLASS,MM-18280,CORPORATE,USA,SMYRNA,TN,SOUTH,OFF-BI-10003091,OFFICE SUPPLIES,BINDERS,GBC DOCUBIND TL200 MANUAL BINDING MACHINE,-51.5154,20.158200000000004,3.052027537209197,0.018167298862048313,-51.5154
2019-01-20,2019-01-26,STANDARD CLASS,HL-15040,CONSUMER,USA,JONESBORO,AR,SOUTH,FUR-FU-10003194,FURNITURE,FURNISHINGS,"ELDON EXPRESSIONS DESK ACCESSORY, WOOD PENCIL HOLDER, OAK",11.58,154.4,5.046002437933547,0.0053902974645637855,11.58
2019-01-21,2019-01-23,SECOND CLASS,TB-21400,CONSUMER,USA,MIAMI,FL,SOUTH,FUR-FU-10001889,FURNITURE,FURNISHINGS,ULTRA DOOR PULL HANDLE,4.1028,60.595200000000006,4.120583945425469,0.03992812936713915,4.1028
2019-01-23,2019-01-27,STANDARD CLASS,SG-20605,CONSUMER,USA,LAFAYETTE,IN,CENTRAL,OFF-FA-10003467,OFFICE SUPPLIES,FASTENERS,"ALLIANCE BIG BANDS RUBBER BANDS, 12/PACK",0.0,17.82,2.9349201341572337,0.014573767219005789,0.0
2019-01-23,2019-01-28,STANDARD CLASS,IM-15055,CONSUMER,USA,LAS VEGAS,NV,WEST,OFF-PA-10001804,OFFICE SUPPLIES,PAPER,XEROX 195,19.2384,240.48,5.486786653928226,0.0045917348772210025,19.2384
2019-01-26,2019-01-31,STANDARD CLASS,SD-20485,HOME OFFICE,USA,ALEXANDRIA,VA,SOUTH,OFF-PA-10000380,OFFICE SUPPLIES,PAPER,"REDIFORM INCOMING/OUTGOING CALL REGISTER, 11"" X 8 1/2"", 100 MESSAGES",8.34,33.36,3.536893097116055,0.02295867438610501,8.34
2019-01-26,2019-01-29,FIRST CLASS,CA-11965,CORPORATE,USA,RAPID CITY,SD,CENTRAL,FUR-BO-10004409,FURNITURE,BOOKCASES,"SAFCO VALUE MATE SERIES STEEL BOOKCASES, BAKED ENAMEL FINISH ON STEEL, GRAY",39.7488,283.92,5.6522084391101535,0.0009982032341784787,39.7488
2019-01-27,2019-02-02,STANDARD CLASS,EJ-13720,CONSUMER,USA,SAN DIEGO,CA,WEST,OFF-ST-10003692,OFFICE SUPPLIES,STORAGE,RECYCLED STEEL PERSONAL FILE FOR HANGING FILE FOLDERS,14.3075,57.23,4.064400685849028,0.20383310041924535,14.3075
2019-01-28,2019-02-03,STANDARD CLASS,JC-15340,CONSUMER,USA,NEW YORK CITY,NY,EAST,OFF-BI-10000343,OFFICE SUPPLIES,BINDERS,"PRESSBOARD COVERS WITH STORAGE HOOKS, 9 1/2"" X 11"", LIGHT BLUE",1.3257,3.1424000000000003,1.4212753300151362,0.112198043521661,1.3257
2019-01-30,2019-02-04,STANDARD CLASS,MV-18190,CONSUMER,USA,DETROIT,MI,CENTRAL,OFF-ST-10000991,OFFICE SUPPLIES,STORAGE,SPACE SOLUTIONS HD INDUSTRIAL STEEL SHELVING.,6.8982,459.88,6.133137705424128,0.0233579556797764,6.8982
2019-01-31,2019-02-02,FIRST CLASS,LC-17050,CONSUMER,USA,MISSION VIEJO,CA,WEST,FUR-BO-10003966,FURNITURE,BOOKCASES,"SAUDER FACETS COLLECTION LIBRARY, SKY ALDER FINISH",3.4196,494.13219999999995,6.204824797618728,0.20383310041924535,3.4196
2019-02-01,2019-02-03,FIRST CLASS,BD-11500,CONSUMER,USA,GREEN BAY,WI,CENTRAL,TEC-AC-10001432,TECHNOLOGY,ACCESSORIES,ENERMAX AURORA LITE KEYBOARD,206.316,2813.3999999999996,7.942504373983294,0.010580954282291874,206.316
2019-02-02,2019-02-09,STANDARD CLASS,EB-13930,CONSUMER,USA,SAINT PETERSBURG,FL,SOUTH,OFF-BI-10000666,OFFICE SUPPLIES,BINDERS,SURELOCK POST BINDERS,-12.224,11.001600000000002,2.485039974233235,0.03992812936713915,-12.224
2019-02-02,2019-02-06,STANDARD CLASS,CD-12790,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-FA-10001843,OFFICE SUPPLIES,FASTENERS,STAPLES,5.8045,61.75,4.139158578011894,0.20383310041924535,5.8045
2019-02-03,2019-02-06,SECOND CLASS,TB-21400,CONSUMER,USA,SEATTLE,WA,WEST,OFF-BI-10002827,OFFICE SUPPLIES,BINDERS,AVERY DURABLE POLY BINDERS,4.3134,31.852800000000002,3.4920369772190973,0.05110800558993811,4.3134
2019-02-04,2019-02-08,STANDARD CLASS,DB-13270,HOME OFFICE,USA,SAN DIEGO,CA,WEST,OFF-BI-10004230,OFFICE SUPPLIES,BINDERS,GBC RECYCLED GRAIN TEXTURED COVERS,29.0136,198.9504,5.298069335790951,0.20383310041924535,29.0136
2019-02-04,2019-02-08,SECOND CLASS,MH-17440,CORPORATE,USA,ESCONDIDO,CA,WEST,OFF-BI-10003676,OFFICE SUPPLIES,BINDERS,"GBC STANDARD RECYCLED REPORT COVERS, CLEAR PLASTIC SHEETS",6.0368,27.5968,3.353294823453977,0.20383310041924535,6.0368
2019-02-06,2019-02-09,FIRST CLASS,ND-18460,CORPORATE,USA,CHESAPEAKE,VA,SOUTH,TEC-PH-10001615,TECHNOLOGY,PHONES,AT&T CL82213,42.0355,724.75,6.587205602904739,0.02295867438610501,42.0355
2019-02-06,2019-02-10,SECOND CLASS,DL-13315,CONSUMER,USA,ROMEOVILLE,IL,CENTRAL,OFF-BI-10001196,OFFICE SUPPLIES,BINDERS,"AVERY FLIP-CHART EASEL BINDER, BLACK",-14.7708,3.580799999999999,1.5218736553617134,0.05510081852665202,-14.7708
2019-02-07,2019-02-12,STANDARD CLASS,CK-12760,CORPORATE,USA,LINDEN,NJ,EAST,TEC-AC-10000710,TECHNOLOGY,ACCESSORIES,MAXELL DVD-RAM DISCS,49.6048,807.52,6.695205415878797,0.01217807945697744,49.6048
2019-02-07,2019-02-10,SECOND CLASS,CS-12250,CORPORATE,USA,NEW YORK CITY,NY,EAST,OFF-ST-10001558,OFFICE SUPPLIES,STORAGE,ACCO PERMA 4000 STACKING STORAGE DRAWERS,9.744,259.84,5.563907192525002,0.112198043521661,9.744
2019-02-08,2019-02-09,FIRST CLASS,NM-18445,HOME OFFICE,USA,NORTH LAS VEGAS,NV,WEST,FUR-FU-10002111,FURNITURE,FURNISHINGS,"MASTER CASTER DOOR STOP, LARGE BROWN",5.5328,29.12,3.405189402931693,0.0045917348772210025,5.5328
2019-02-11,2019-02-15,SECOND CLASS,GA-14725,CONSUMER,USA,COLUMBIA,MO,CENTRAL,OFF-ST-10002583,OFFICE SUPPLIES,STORAGE,FELLOWES NEAT IDEAS STORAGE CUBES,2.5984,129.92,4.87458644963298,0.005989219405070872,2.5984
2019-02-11,2019-02-15,STANDARD CLASS,NF-18385,CONSUMER,USA,CHESAPEAKE,VA,SOUTH,OFF-BI-10003291,OFFICE SUPPLIES,BINDERS,WILSON JONES LEATHER-LIKE BINDERS WITH DUBLLOCK ROUND RINGS,8.2062,34.92,3.581294243433999,0.02295867438610501,8.2062
2019-02-12,2019-02-18,STANDARD CLASS,SC-20095,CONSUMER,USA,CONCORD,CA,WEST,FUR-CH-10000225,FURNITURE,CHAIRS,"GLOBAL GEO OFFICE TASK CHAIR, GRAY",-24.294,207.30880000000002,5.339021594134039,0.20383310041924535,-24.294
2019-02-14,2019-02-18,STANDARD CLASS,ML-17395,CORPORATE,USA,SEATTLE,WA,WEST,OFF-SU-10000157,OFFICE SUPPLIES,SUPPLIES,COMPACT AUTOMATIC ELECTRIC LETTER OPENER,4.7724,477.24,6.170112698535628,0.05110800558993811,4.7724
2019-02-14,2019-02-19,SECOND CLASS,ST-20530,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000466,OFFICE SUPPLIES,PAPER,"MEMO BOOK, 100 MESSAGE CAPACITY, 5 3/8” X 11”",6.066,38.822399999999995,3.684429568040305,0.09722499500898382,6.066
2019-02-15,2019-02-19,STANDARD CLASS,BF-11020,CORPORATE,USA,SEATTLE,WA,WEST,OFF-BI-10001031,OFFICE SUPPLIES,BINDERS,PRESSBOARD DATA BINDERS BY WILSON JONES,7.209,85.44,4.459450531638685,0.05110800558993811,7.209
2019-02-16,2019-02-21,STANDARD CLASS,MN-17935,CONSUMER,USA,DALLAS,TX,CENTRAL,OFF-BI-10002012,OFFICE SUPPLIES,BINDERS,WILSON JONES EASY FLOW II SHEET LIFTERS,-1.728,0.6479999999999999,0.4995624314872799,0.09722499500898382,-1.728
2019-02-17,2019-02-24,STANDARD CLASS,DL-13315,CONSUMER,USA,CHICAGO,IL,CENTRAL,OFF-AR-10003631,OFFICE SUPPLIES,ART,STAPLES IN MISC. COLORS,8.8088,607.1296000000001,6.410388017145988,0.05510081852665202,8.8088
2019-02-18,2019-02-24,STANDARD CLASS,AB-10015,CONSUMER,USA,ARLINGTON,TX,CENTRAL,OFF-ST-10000321,OFFICE SUPPLIES,STORAGE,AKRO STACKING BINS,-2.5248,20.198400000000003,3.0539257071317216,0.09722499500898382,-2.5248
2019-02-18,2019-02-18,SAME DAY,TB-21595,CONSUMER,USA,LUBBOCK,TX,CENTRAL,FUR-FU-10002396,FURNITURE,FURNISHINGS,"DAX COPPER PANEL DOCUMENT FRAME, 5 X 7 SIZE",-11.322,50.32,3.938080539747436,0.09722499500898382,-11.322
2019-02-20,2019-02-26,STANDARD CLASS,LC-16930,CORPORATE,USA,RICHMOND,IN,CENTRAL,TEC-AC-10001284,TECHNOLOGY,ACCESSORIES,ENERMAX BRISKIE RF WIRELESS KEYBOARD AND MOUSE COMBO,22.4316,186.93,5.23606955306851,0.014573767219005789,22.4316
2019-02-20,2019-02-24,STANDARD CLASS,SR-20740,HOME OFFICE,USA,LOS ANGELES,CA,WEST,OFF-PA-10003363,OFFICE SUPPLIES,PAPER,XEROX 204,6.2208,25.92,3.2928695047765273,0.20383310041924535,6.2208
2019-02-21,2019-02-25,STANDARD CLASS,TM-21010,CONSUMER,USA,WOODSTOCK,IL,CENTRAL,OFF-BI-10004094,OFFICE SUPPLIES,BINDERS,GBC STANDARD PLASTIC BINDING SYSTEMS COMBS,-13.7175,8.849999999999998,2.287471455183997,0.05510081852665202,-13.7175
2019-02-22,2019-02-24,FIRST CLASS,SA-20830,CONSUMER,USA,MORENO VALLEY,CA,WEST,OFF-PA-10001800,OFFICE SUPPLIES,PAPER,XEROX 220,9.3312,58.32000000000001,4.082946517269732,0.20383310041924535,9.3312
2019-02-23,2019-02-27,STANDARD CLASS,MG-17875,HOME OFFICE,USA,EL PASO,TX,CENTRAL,OFF-LA-10004425,OFFICE SUPPLIES,LABELS,STAPLE-ON LABELS,2.3409,16.6464,2.8705317965697454,0.09722499500898382,2.3409
2019-02-24,2019-03-02,STANDARD CLASS,JH-15430,CONSUMER,USA,MEDFORD,OR,WEST,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",11.1024,105.2672,4.6659566770559335,0.011179876222798962,11.1024
2019-02-27,2019-03-03,FIRST CLASS,JS-16030,CONSUMER,USA,COLUMBUS,OH,EAST,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592,4.147240571575598,0.0471151926532242,3.4048
2019-03-01,2019-03-05,STANDARD CLASS,VF-21715,HOME OFFICE,USA,ELMHURST,IL,CENTRAL,FUR-CH-10000863,FURNITURE,CHAIRS,NOVIMEX SWIVEL FABRIC TASK CHAIR,-172.1172,2663.2871999999998,7.887691833657243,0.05510081852665202,-121.119
2019-03-01,2019-03-06,SECOND CLASS,DB-13060,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004063,FURNITURE,CHAIRS,GLOBAL DELUXE HIGH-BACK MANAGER'S CHAIR,51.4764,732.1088,6.597294121976892,0.05110800558993811,51.4764
2019-03-01,2019-03-05,STANDARD CLASS,SC-20380,CONSUMER,USA,EL PASO,TX,CENTRAL,FUR-CH-10001270,FURNITURE,CHAIRS,HARBOUR CREATIONS STEEL FOLDING CHAIR,0.0,1521.4499999999998,7.328076158322288,0.09722499500898382,0.0
2019-03-01,2019-03-05,STANDARD CLASS,HR-14770,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,TEC-PH-10003655,TECHNOLOGY,PHONES,SANNYSIS CUTE OWL DESIGN SOFT SKIN CASE COVER FOR SAMSUNG GALAXY S4,1.6038,17.82,2.9349201341572337,0.112198043521661,1.6038
2019-03-01,2019-03-07,STANDARD CLASS,GW-14605,CONSUMER,USA,HOUSTON,TX,CENTRAL,FUR-TA-10001866,FURNITURE,TABLES,BEVIS ROUND CONFERENCE ROOM TABLES AND BASES,-43.0296,790.6689,6.674143248849284,0.09722499500898382,-43.0296
2019-03-02,2019-03-08,STANDARD CLASS,KN-16705,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,OFF-PA-10000587,OFFICE SUPPLIES,PAPER,"ARRAY PARCHMENT PAPER, ASSORTED COLORS",17.472,182.0,5.209486152841421,0.112198043521661,17.472
2019-03-02,2019-03-06,STANDARD CLASS,NH-18610,CORPORATE,USA,PHILADELPHIA,PA,EAST,TEC-AC-10004353,TECHNOLOGY,ACCESSORIES,HYPERCOM P1300 PINPAD,32.13,362.88,5.896824142953861,0.057496506288680374,32.13
2019-03-03,2019-03-07,SECOND CLASS,AJ-10945,CONSUMER,USA,WILMINGTON,NC,SOUTH,OFF-AR-10003560,OFFICE SUPPLIES,ART,ZEBRA ZAZZLE FLUORESCENT HIGHLIGHTERS,3.4048,62.2592,4.147240571575598,0.02715112796965462,3.4048
2019-03-03,2019-03-08,STANDARD CLASS,JS-15595,CORPORATE,USA,COLUMBUS,OH,EAST,FUR-BO-10001972,FURNITURE,BOOKCASES,O'SULLIVAN 4-SHELF BOOKCASE IN ODESSA PINE,-199.617,756.125,6.629528365301112,0.0471151926532242,-121.119
2019-03-03,2019-03-07,STANDARD CLASS,SC-20020,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-AP-10002534,OFFICE SUPPLIES,APPLIANCES,3.6 CUBIC FOOT COUNTER HEIGHT OFFICE REFRIGERATOR,-459.6072,106.06319999999998,4.673419314299975,0.09722499500898382,-121.119
2019-03-03,2019-03-07,STANDARD CLASS,EJ-14155,CONSUMER,USA,SAN DIEGO,CA,WEST,FUR-TA-10002958,FURNITURE,TABLES,"BEVIS OVAL CONFERENCE TABLE, WALNUT",-23.4882,1503.2448000000002,7.316046257222291,0.20383310041924535,-23.4882
2019-03-03,2019-03-08,STANDARD CLASS,AP-10720,HOME OFFICE,USA,NEW YORK CITY,NY,EAST,TEC-PH-10004700,TECHNOLOGY,PHONES,POWERGEN DUAL USB CAR CHARGER,4.5954,9.99,2.39698576841553,0.112198043521661,4.5954
2019-03-04,2019-03-09,STANDARD CLASS,SC-20095,CONSUMER,USA,MARGATE,FL,SOUTH,OFF-AR-10001374,OFFICE SUPPLIES,ART,"BIC BRITE LINER HIGHLIGHTERS, CHISEL TIP",2.3328,37.3248,3.646097206218495,0.03992812936713915,2.3328
2019-03-04,2019-03-04,SAME DAY,CL-12565,CONSUMER,USA,COLUMBIA,SC,SOUTH,OFF-ST-10001370,OFFICE SUPPLIES,STORAGE,SENSIBLE STORAGE WIRETECH STORAGE SYSTEMS,17.745,1774.5,7.481837352383143,0.003992812936713915,17.745
2019-03-05,2019-03-08,SECOND CLASS,AB-10150,CONSUMER,USA,YONKERS,NY,EAST,OFF-PA-10001878,OFFICE SUPPLIES,PAPER,XEROX 1891,45.9754,195.64,5.281374645817724,0.112198043521661,45.9754
2019-03-07,2019-03-12,STANDARD CLASS,CM-12715,CORPORATE,USA,SEATTLE,WA,WEST,FUR-CH-10004495,FURNITURE,CHAIRS,"GLOBAL LEATHER AND OAK EXECUTIVE CHAIR, BLACK",54.1764,770.5088000000001,6.648348078089428,0.05110800558993811,54.1764
2019-03-07,2019-03-08,FIRST CLASS,AB-10015,CONSUMER,USA,SEATTLE,WA,WEST,FUR-CH-10004477,FURNITURE,CHAIRS,"GLOBAL PUSH BUTTON MANAGER'S CHAIR, INDIGO",5.4801,38.96960000000001,3.6881191651675276,0.05110800558993811,5.4801
2019-03-07,2019-03-11,SECOND CLASS,NP-18685,HOME OFFICE,USA,DES MOINES,WA,WEST,OFF-BI-10004224,OFFICE SUPPLIES,BINDERS,CATALOG BINDERS WITH EXPANDING POSTS,33.64,172.23680000000002,5.15465944469118,0.05110800558993811,33.64
2019-03-10,2019-03-17,STANDARD CLASS,KT-16480,CONSUMER,USA,DENVER,CO,WEST,OFF-AR-10001044,OFFICE SUPPLIES,ART,"BOSTON RANGER #55 PENCIL SHARPENER, BLACK",9.3564,266.1376,5.587763881455297,0.015771611100019962,9.3564
2019-03-10,2019-03-14,STANDARD CLASS,SW-20275,CONSUMER,USA,ROYAL OAK,MI,CENTRAL,OFF-PA-10002259,OFFICE SUPPLIES,PAPER,"GEOGRAPHICS NOTE CARDS, BLANK, WHITE, 8 1/2"" X 11""",10.7424,44.76,3.8234103470715426,0.0233579556797764,10.7424
2019-03-11,2019-03-15,STANDARD CLASS,RB-19435,CONSUMER,USA,ROSEVILLE,CA,WEST,OFF-AR-10001770,OFFICE SUPPLIES,ART,ECONOMY #2 PENCILS,2.0748,23.94,3.2164729402518906,0.20383310041924535,2.0748
2019-03-11,2019-03-13,SECOND CLASS,FM-14215,CORPORATE,USA,RICHMOND,KY,SOUTH,OFF-AP-10002578,OFFICE SUPPLIES,APPLIANCES,"FELLOWES PREMIER SUPERIOR SURGE SUPPRESSOR, 10-OUTLET, WITH PHONE AND REMOTE",38.1576,440.28,6.089679594604937,0.01217807945697744,38.1576
2019-03-11,2019-03-16,SECOND CLASS,CK-12205,CONSUMER,USA,COLUMBUS,OH,EAST,FUR-FU-10003981,FURNITURE,FURNISHINGS,ELDON WAVE DESK ACCESSORIES,2.288,33.28,3.534562093729579,0.0471151926532242,2.288
2019-03-11,2019-03-14,SECOND CLASS,KA-16525,CONSUMER,USA,NEW YORK CITY,NY,EAST,OFF-PA-10002137,OFFICE SUPPLIES,PAPER,"SOUTHWORTH 100% RÉSUMÉ PAPER, 24LB.",49.014,1524.88,7.330326571792984,0.112198043521661,49.014
2019-03-14,2019-03-19,STANDARD CLASS,CK-12325,HOME OFFICE,USA,CHESAPEAKE,VA,SOUTH,FUR-CH-10003379,FURNITURE,CHAIRS,GLOBAL COMMERCE SERIES HIGH-BACK SWIVEL/TILT CHAIRS,284.98,4559.68,8.425227014197748,0.02295867438610501,284.98
2019-03-14,2019-03-18,STANDARD CLASS,DK-13225,CORPORATE,USA,HUNTINGTON BEACH,CA,WEST,OFF-PA-10001204,OFFICE SUPPLIES,PAPER,XEROX 1972,4.752,21.12,3.096482176654134,0.20383310041924535,4.752
2019-03-14,2019-03-18,STANDARD CLASS,NF-18475,HOME OFFICE,USA,JACKSONVILLE,FL,SOUTH,OFF-PA-10000176,OFFICE SUPPLIES,PAPER,XEROX 1887,31.8696,437.0688,6.0823759756666185,0.03992812936713915,31.8696
2019-03-14,2019-03-19,STANDARD CLASS,JF-15295,CONSUMER,USA,LOGAN,UT,WEST,OFF-BI-10001617,OFFICE SUPPLIES,BINDERS,GBC WIRE BINDING COMBS,11.1672,105.8816,4.671721679736166,0.005190656817728089,11.1672
2019-03-14,2019-03-17,FIRST CLASS,RB-19465,HOME OFFICE,USA,CHICAGO,IL,CENTRAL,TEC-MA-10003626,TECHNOLOGY,MACHINES,HEWLETT-PACKARD DESKJET 6540 COLOR INKJET PRINTER,156.047,804.8739999999999,6.69192740274278,0.05510081852665202,156.047
2019-03-15,2019-03-19,STANDARD CLASS,AS-10240,CONSUMER,USA,TAMPA,FL,SOUTH,OFF-BI-10001543,OFFICE SUPPLIES,BINDERS,GBC VELOBINDER MANUAL BINDING SYSTEM,-31.6712,51.82560000000001,3.9669959216960162,0.03992812936713915,-31.6712
2019-03-16,2019-03-21,SECOND CLASS,KN-16705,HOME OFFICE,USA,RALEIGH,NC,SOUTH,TEC-PH-10002415,TECHNOLOGY,PHONES,POLYCOM VOICESTATION 500 CONFERENCE PHONE,29.495,755.0720000000001,6.6281366097399115,0.02715112796965462,29.495
2019-03-17,2019-03-21,STANDARD CLASS,MH-17440,CORPORATE,USA,JACKSON,MS,SOUTH,OFF-BI-10000605,OFFICE SUPPLIES,BINDERS,"ACCO PRESSBOARD COVERS WITH STORAGE HOOKS, 9 1/2"" X 11"", EXECUTIVE RED",5.3721,34.29,3.5635996376871786,0.005190656817728089,5.3721
2019-03-17,2019-03-20,SECOND CLASS,QJ-19255,CORPORATE,USA,PHILADELPHIA,PA,EAST,OFF-PA-10003641,OFFICE SUPPLIES,PAPER,XEROX 1909,41.1528,607.7951999999999,6.411481922153714,0.057496506288680374,41.1528
